accession,db_symbol,db_is_small_molecule_in_clinic,db_is_antibody_in_clinic,db_is_other_in_clinic,db_small_molecule_drugs_in_clinic,db_antibody_drugs_in_clinic,db_other_drugs_in_clinic,db_all_drugs_in_clinic
P17658,KCNA6,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
Q96RP8,KCNA7,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
Q16322,KCNA10,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
Q14721,KCNB1,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
Q92953,KCNB2,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
P48547,KCNC1,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
Q96PR1,KCNC2,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
Q14003,KCNC3,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
Q9NSA2,KCND1,True,False,False,"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB06637', 'name': 'Dalfampridine', 'type': 'small molecule', 'groups': ['approved']}]"
P49765,VEGFB,False,False,True,[],[],"[{'drugbank_id': 'DB08885', 'name': 'Aflibercept', 'type': 'other', 'groups': ['approved']}]","[{'drugbank_id': 'DB08885', 'name': 'Aflibercept', 'type': 'other', 'groups': ['approved']}]"
P28065,PSMB9,True,False,False,"[{'drugbank_id': 'DB08889', 'name': 'Carfilzomib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB08889', 'name': 'Carfilzomib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P40306,PSMB10,True,False,False,"[{'drugbank_id': 'DB08889', 'name': 'Carfilzomib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB08889', 'name': 'Carfilzomib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P28062,PSMB8,True,False,False,"[{'drugbank_id': 'DB08889', 'name': 'Carfilzomib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB08889', 'name': 'Carfilzomib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
Q16832,DDR2,True,False,False,"[{'drugbank_id': 'DB08896', 'name': 'Regorafenib', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB08896', 'name': 'Regorafenib', 'type': 'small molecule', 'groups': ['approved']}]"
P42685,FRK,True,False,False,"[{'drugbank_id': 'DB08896', 'name': 'Regorafenib', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB08896', 'name': 'Regorafenib', 'type': 'small molecule', 'groups': ['approved']}]"
P11274,BCR,True,False,False,"[{'drugbank_id': 'DB00619', 'name': 'Imatinib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB06616', 'name': 'Bosutinib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB08901', 'name': 'Ponatinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB00619', 'name': 'Imatinib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB06616', 'name': 'Bosutinib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB08901', 'name': 'Ponatinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P36507,MAP2K2,True,False,False,"[{'drugbank_id': 'DB08911', 'name': 'Trametinib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11689', 'name': 'Selumetinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11967', 'name': 'Binimetinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB08911', 'name': 'Trametinib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11689', 'name': 'Selumetinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11967', 'name': 'Binimetinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
Q5XXA6,ANO1,True,False,False,"[{'drugbank_id': 'DB04941', 'name': 'Crofelemer', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB04941', 'name': 'Crofelemer', 'type': 'small molecule', 'groups': ['approved']}]"
P31639,SLC5A2,True,False,False,"[{'drugbank_id': 'DB06292', 'name': 'Dapagliflozin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB08907', 'name': 'Canagliflozin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09038', 'name': 'Empagliflozin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11827', 'name': 'Ertugliflozin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB06292', 'name': 'Dapagliflozin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB08907', 'name': 'Canagliflozin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09038', 'name': 'Empagliflozin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11827', 'name': 'Ertugliflozin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
Q96SW2,CRBN,True,False,False,"[{'drugbank_id': 'DB00480', 'name': 'Lenalidomide', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01041', 'name': 'Thalidomide', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'withdrawn']}, {'drugbank_id': 'DB08910', 'name': 'Pomalidomide', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB00480', 'name': 'Lenalidomide', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01041', 'name': 'Thalidomide', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'withdrawn']}, {'drugbank_id': 'DB08910', 'name': 'Pomalidomide', 'type': 'small molecule', 'groups': ['approved']}]"
Q14145,KEAP1,True,False,False,"[{'drugbank_id': 'DB08908', 'name': 'Dimethyl fumarate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB08908', 'name': 'Dimethyl fumarate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
Q9UHC3,ASIC3,False,False,False,[],[],[],"[{'drugbank_id': 'DB08838', 'name': 'Agmatine', 'type': 'small molecule', 'groups': ['experimental']}]"
Q9UM01,SLC7A7,True,False,False,"[{'drugbank_id': 'DB13146', 'name': 'Fluciclovine (18F)', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB13146', 'name': 'Fluciclovine (18F)', 'type': 'small molecule', 'groups': ['approved']}]"
Q15303,ERBB4,True,False,False,"[{'drugbank_id': 'DB08916', 'name': 'Afatinib', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB08916', 'name': 'Afatinib', 'type': 'small molecule', 'groups': ['approved']}]"
Q96S37,SLC22A12,True,False,False,"[{'drugbank_id': 'DB01138', 'name': 'Sulfinpyrazone', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11560', 'name': 'Lesinurad', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB01138', 'name': 'Sulfinpyrazone', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11560', 'name': 'Lesinurad', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P01903,HLA-DRA,False,False,True,[],[],"[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]","[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]"
P79483,HLA-DRB3,False,False,True,[],[],"[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]","[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]"
P13762,HLA-DRB4,False,False,True,[],[],"[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]","[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]"
Q30154,HLA-DRB5,False,False,True,[],[],"[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]","[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]"
P01911,HLA-DRB1,False,False,True,[],[],"[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]","[{'drugbank_id': 'DB05121', 'name': '1D09C3', 'type': 'other', 'groups': ['investigational']}]"
P14867,GABRA1,True,False,False,"[{'drugbank_id': 'DB00186', 'name': 'Lorazepam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00189', 'name': 'Ethchlorvynol', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'withdrawn']}, {'drugbank_id': 'DB00228', 'name': 'Enflurane', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00231', 'name': 'Temazepam', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00237', 'name': 'Butabarbital', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00241', 'name': 'Butalbital', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00292', 'name': 'Etomidate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00306', 'name': 'Talbutal', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00312', 'name': 'Pentobarbital', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00349', 'name': 'Clobazam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00371', 'name': 'Meprobamate', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00402', 'name': 'Eszopiclone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00404', 'name': 'Alprazolam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB00463', 'name': 'Metharbital', 'type': 'small molecule', 'groups': ['withdrawn']}, {'drugbank_id': 'DB00475', 'name': 'Chlordiazepoxide', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB00628', 'name': 'Clorazepic acid', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00659', 'name': 'Acamprosate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00683', 'name': 'Midazolam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00690', 'name': 'Flurazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB00753', 'name': 'Isoflurane', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00794', 'name': 'Primidone', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00801', 'name': 'Halazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'withdrawn']}, {'drugbank_id': 'DB00818', 'name': 'Propofol', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00829', 'name': 'Diazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00842', 'name': 'Oxazepam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00897', 'name': 'Triazolam', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01028', 'name': 'Methoxyflurane', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB01068', 'name': 'Clonazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01107', 'name': 'Methyprylon', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'withdrawn']}, {'drugbank_id': 'DB01159', 'name': 'Halothane', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB01189', 'name': 'Desflurane', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01205', 'name': 'Flumazenil', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01215', 'name': 'Estazolam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01236', 'name': 'Sevoflurane', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB01437', 'name': 'Glutethimide', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01544', 'name': 'Flunitrazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01558', 'name': 'Bromazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB01559', 'name': 'Clotiazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01587', 'name': 'Ketazolam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01588', 'name': 'Prazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01589', 'name': 'Quazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01595', 'name': 'Nitrazepam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01956', 'name': 'Taurine', 'type': 'small molecule', 'groups': ['approved', 'nutraceutical']}, {'drugbank_id': 'DB09017', 'name': 'Brotizolam', 'type': 'small molecule', 'groups': ['investigational', 'withdrawn']}, {'drugbank_id': 'DB09118', 'name': 'Stiripentol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11859', 'name': 'Brexanolone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12404', 'name': 'Remimazolam', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13872', 'name': 'Lormetazepam', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB00186', 'name': 'Lorazepam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00189', 'name': 'Ethchlorvynol', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'withdrawn']}, {'drugbank_id': 'DB00228', 'name': 'Enflurane', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00231', 'name': 'Temazepam', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00237', 'name': 'Butabarbital', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00241', 'name': 'Butalbital', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00292', 'name': 'Etomidate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00306', 'name': 'Talbutal', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00312', 'name': 'Pentobarbital', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00349', 'name': 'Clobazam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00371', 'name': 'Meprobamate', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00402', 'name': 'Eszopiclone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00404', 'name': 'Alprazolam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB00463', 'name': 'Metharbital', 'type': 'small molecule', 'groups': ['withdrawn']}, {'drugbank_id': 'DB00475', 'name': 'Chlordiazepoxide', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB00546', 'name': 'Adinazolam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB00628', 'name': 'Clorazepic acid', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00659', 'name': 'Acamprosate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00683', 'name': 'Midazolam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB00690', 'name': 'Flurazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB00753', 'name': 'Isoflurane', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00794', 'name': 'Primidone', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00801', 'name': 'Halazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'withdrawn']}, {'drugbank_id': 'DB00818', 'name': 'Propofol', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00829', 'name': 'Diazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00842', 'name': 'Oxazepam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00897', 'name': 'Triazolam', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01028', 'name': 'Methoxyflurane', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB01068', 'name': 'Clonazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01107', 'name': 'Methyprylon', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'withdrawn']}, {'drugbank_id': 'DB01159', 'name': 'Halothane', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB01189', 'name': 'Desflurane', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01205', 'name': 'Flumazenil', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01215', 'name': 'Estazolam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01236', 'name': 'Sevoflurane', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB01437', 'name': 'Glutethimide', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01489', 'name': 'Camazepam', 'type': 'small molecule', 'groups': ['experimental', 'illicit']}, {'drugbank_id': 'DB01511', 'name': 'Delorazepam', 'type': 'small molecule', 'groups': ['experimental', 'illicit']}, {'drugbank_id': 'DB01544', 'name': 'Flunitrazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01545', 'name': 'Ethyl loflazepate', 'type': 'small molecule', 'groups': ['experimental', 'illicit']}, {'drugbank_id': 'DB01553', 'name': 'Cloxazolam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB01558', 'name': 'Bromazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB01559', 'name': 'Clotiazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01587', 'name': 'Ketazolam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01588', 'name': 'Prazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01589', 'name': 'Quazepam', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01594', 'name': 'Cinolazepam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB01595', 'name': 'Nitrazepam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01956', 'name': 'Taurine', 'type': 'small molecule', 'groups': ['approved', 'nutraceutical']}, {'drugbank_id': 'DB09017', 'name': 'Brotizolam', 'type': 'small molecule', 'groups': ['investigational', 'withdrawn']}, {'drugbank_id': 'DB09118', 'name': 'Stiripentol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09166', 'name': 'Etizolam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB11582', 'name': 'Thiocolchicoside', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB11859', 'name': 'Brexanolone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12404', 'name': 'Remimazolam', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13335', 'name': 'Pinazepam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB13437', 'name': 'Medazepam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB13643', 'name': 'Loprazolam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB13837', 'name': 'Doxefazepam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB13872', 'name': 'Lormetazepam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB14028', 'name': 'Nordazepam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB14672', 'name': 'Oxazepam acetate', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB14715', 'name': 'Cinazepam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB14719', 'name': 'Bentazepam', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB15489', 'name': 'Mexazolam', 'type': 'small molecule', 'groups': ['experimental']}]"
